class,curbweight,enginesize,horsepower,peakrpm,citympg,highwaympg
3,2548,130,111,5000,21,27
3,2548,130,111,5000,21,27
1,2823,152,154,5000,19,26
2,2337,109,102,5500,24,30
2,2824,136,115,5500,18,22
2,2507,136,110,5500,19,25
1,2844,136,110,5500,19,25
1,2954,136,110,5500,19,25
1,3086,131,140,5500,17,20
0,3053,131,160,5500,16,22
2,2395,108,101,5800,23,29
0,2395,108,101,5800,23,29
0,2710,164,121,4250,21,28
0,2765,164,121,4250,21,28
1,3055,164,121,4250,20,25
0,3230,209,182,5400,16,22
0,3380,209,182,5400,16,22
0,3505,209,182,5400,15,20
2,1488,61,48,5100,47,53
1,1874,90,70,5400,38,43
0,1909,90,70,5400,38,43
1,1876,90,68,5500,37,41
1,1876,90,68,5500,31,38
1,2128,98,102,5500,24,30
1,1967,90,68,5500,31,38
1,1989,90,68,5500,31,38
1,1989,90,68,5500,31,38
1,2191,98,102,5500,24,30
-1,2535,122,88,5000,24,30
3,2811,156,145,5000,19,24
2,1713,92,58,4800,49,54
2,1819,92,76,6000,31,38
1,1837,79,60,5500,38,42
1,1940,92,76,6000,30,34
1,1956,92,76,6000,30,34
0,2010,92,76,6000,30,34
0,2024,92,76,6000,30,34
0,2236,110,86,5800,27,33
0,2289,110,86,5800,27,33
0,2304,110,86,5800,27,33
0,2372,110,86,5800,27,33
0,2465,110,101,5800,24,28
1,2293,110,100,5500,25,31
0,2337,111,78,4800,24,29
1,1874,90,70,5400,38,43
0,1909,90,70,5400,38,43
2,2734,119,90,5000,24,29
0,4066,258,176,4750,15,19
0,4066,258,176,4750,15,19
0,3950,326,262,5000,13,17
1,1890,91,68,5000,30,31
1,1900,91,68,5000,31,38
1,1905,91,68,5000,31,38
1,1945,91,68,5000,31,38
1,1950,91,68,5000,31,38
3,2380,70,101,6000,17,23
3,2380,70,101,6000,17,23
3,2385,70,101,6000,17,23
3,2500,80,135,6000,16,23
1,2385,122,84,4800,26,32
0,2410,122,84,4800,26,32
1,2385,122,84,4800,26,32
0,2410,122,84,4800,26,32
0,2443,122,64,4650,36,42
0,2425,122,84,4800,26,32
0,2670,140,120,5000,19,27
0,2700,134,72,4200,31,39
-1,3515,183,123,4350,22,25
-1,3750,183,123,4350,22,25
0,3495,183,123,4350,22,25
-1,3770,183,123,4350,22,25
-1,3740,234,155,4750,16,18
3,3685,234,155,4750,16,18
0,3900,308,184,4500,14,16
1,3715,304,184,4500,14,16
1,2910,140,175,5000,19,24
2,1918,92,68,5500,37,41
2,1944,92,68,5500,31,38
2,2004,92,68,5500,31,38
1,2145,98,102,5500,24,30
3,2370,110,116,5500,23,30
3,2328,122,88,5000,25,32
3,2833,156,145,5000,19,24
3,2921,156,145,5000,19,24
3,2926,156,145,5000,19,24
1,2365,122,88,5000,25,32
1,2405,122,88,5000,25,32
1,2403,110,116,5500,23,30
-1,2403,110,116,5500,23,30
1,1889,97,69,5200,31,37
1,2017,103,55,4800,45,50
1,1918,97,69,5200,31,37
1,1938,97,69,5200,31,37
1,2024,97,69,5200,31,37
1,1951,97,69,5200,31,37
1,2028,97,69,5200,31,37
1,1971,97,69,5200,31,37
1,2037,97,69,5200,31,37
2,2008,97,69,5200,31,37
0,2324,120,97,5200,27,34
0,2302,120,97,5200,27,34
0,3095,181,152,5200,17,22
0,3296,181,152,5200,17,22
0,3060,181,152,5200,19,25
3,3071,181,160,5200,19,25
3,3139,181,200,5200,17,23
1,3139,181,160,5200,19,25
0,3020,120,97,5000,19,24
0,3197,152,95,4150,28,33
0,3230,120,97,5000,19,24
0,3430,152,95,4150,25,25
0,3075,120,95,5000,19,24
0,3252,152,95,4150,28,33
0,3285,120,95,5000,19,24
0,3485,152,95,4150,25,25
0,3075,120,97,5000,19,24
0,3252,152,95,4150,28,33
0,3130,134,142,5600,18,24
1,1918,90,68,5500,37,41
1,2128,98,102,5500,24,30
1,1967,90,68,5500,31,38
1,1989,90,68,5500,31,38
1,2191,98,68,5500,31,38
-1,2535,122,88,5000,24,30
3,2818,156,145,5000,19,24
3,2778,151,143,5500,19,27
3,2756,194,207,5900,17,25
3,2756,194,207,5900,17,25
3,2800,194,207,5900,17,25
1,3366,203,288,5750,17,28
0,2579,132,90,5100,23,31
2,2460,132,90,5100,23,31
3,2658,121,110,5250,21,28
2,2695,121,110,5250,21,28
3,2707,121,110,5250,21,28
2,2758,121,110,5250,21,28
3,2808,121,160,5500,19,26
2,2847,121,160,5500,19,26
2,2050,97,69,4900,31,36
2,2120,108,73,4400,26,31
2,2240,108,73,4400,26,31
0,2145,108,82,4800,32,37
0,2190,108,82,4400,28,33
0,2340,108,94,5200,26,32
0,2385,108,82,4800,24,25
0,2510,108,111,4800,24,29
0,2290,108,82,4800,28,32
0,2455,108,94,5200,25,31
0,2420,108,82,4800,23,29
0,2650,108,111,4800,23,23
1,1985,92,62,4800,35,39
1,2040,92,62,4800,31,38
1,2015,92,62,4800,31,38
0,2280,92,62,4800,31,37
0,2290,92,62,4800,27,32
0,3110,92,62,4800,27,32
0,2081,98,70,4800,30,37
0,2109,98,70,4800,30,37
0,2275,110,56,4500,34,36
0,2275,110,56,4500,38,47
0,2094,98,70,4800,38,47
0,2122,98,70,4800,28,34
0,2140,98,70,4800,28,34
1,2169,98,70,4800,29,34
1,2204,98,70,4800,29,34
1,2265,98,112,6600,26,29
1,2300,98,112,6600,26,29
2,2540,146,116,4800,24,30
2,2536,146,116,4800,24,30
2,2551,146,116,4800,24,30
2,2679,146,116,4800,24,30
2,2714,146,116,4800,24,30
2,2975,146,116,4800,24,30
-1,2326,122,92,4200,29,34
-1,2480,110,73,4500,30,33
-1,2414,122,92,4200,27,32
-1,2414,122,92,4200,27,32
-1,2458,122,92,4200,27,32
3,2976,171,161,5200,20,24
3,3016,171,161,5200,19,24
-1,3131,171,156,5200,20,24
-1,3151,161,156,5200,19,24
2,2261,97,52,4800,37,46
2,2209,109,85,5250,27,34
2,2264,97,52,4800,37,46
2,2212,109,85,5250,27,34
2,2275,109,85,5250,27,34
2,2319,97,68,4500,37,42
2,2300,109,100,5500,26,32
3,2254,109,90,5500,24,29
3,2221,109,90,5500,24,29
0,2661,136,110,5500,19,24
0,2579,97,68,4500,33,38
0,2563,109,88,5500,25,31
-2,2912,141,114,5400,23,28
-1,3034,141,114,5400,23,28
-2,2935,141,114,5400,24,28
-1,3042,141,114,5400,24,28
-2,3045,130,162,5100,17,22
-1,3157,130,162,5100,17,22
-1,2952,141,114,5400,23,28
-1,3049,141,160,5300,19,25
-1,3012,173,134,5500,18,23
-1,3217,145,106,4800,26,27
-1,3062,141,114,5400,19,25
