Miles Per Gallon,Engine Size (cube in),Weight in pounds,Acceleration (0 to 60),Model Year,class
18,307,3504,12,70,1
15,350,3693,12,70,1
18,318,3436,11,70,1
16,304,3433,12,70,1
17,302,3449,11,70,1
15,429,4341,10,70,1
14,454,4354,9,70,1
14,440,4312,9,70,1
14,455,4425,10,70,1
15,390,3850,9,70,1
15,383,3563,10,70,1
14,340,3609,8,70,1
15,400,3761,10,70,1
14,455,3086,10,70,1
24,113,2372,15,70,3
22,198,2833,16,70,1
18,199,2774,16,70,1
21,200,2587,16,70,1
27,97,2130,15,70,3
26,97,1835,21,70,2
25,110,2672,18,70,2
24,107,2430,15,70,2
25,104,2375,18,70,2
26,121,2234,13,70,2
21,199,2648,15,70,1
10,360,4615,14,70,1
10,307,4376,15,70,1
11,318,4382,14,70,1
9,4,732,9,0,1
27,97,2130,15,71,3
28,140,2264,16,71,1
25,113,2228,14,71,3
25,98,2046,19,71,1
19,232,2634,13,71,1
16,225,3439,16,71,1
17,250,3329,16,71,1
19,250,3302,16,71,1
18,232,3288,16,71,1
14,350,4209,12,71,1
14,400,4464,12,71,1
14,351,4154,14,71,1
14,318,4096,13,71,1
12,383,4955,12,71,1
13,400,4746,12,71,1
13,400,5140,12,71,1
18,258,2962,14,71,1
22,140,2408,19,71,1
19,250,3282,15,71,1
18,250,3139,15,71,1
23,122,2220,14,71,1
28,116,2123,14,71,2
30,79,2074,20,71,2
30,88,2065,15,71,2
31,71,1773,19,71,3
35,72,1613,18,71,3
27,97,1834,19,71,2
26,91,1955,21,71,1
24,113,2278,16,72,3
25,98,2126,17,72,1
23,97,2254,24,72,2
20,140,2408,20,72,1
21,122,2226,17,72,1
13,350,4274,12,72,1
14,400,4385,12,72,1
15,318,4135,14,72,1
14,351,4129,13,72,1
17,304,3672,12,72,1
11,429,4633,11,72,1
13,350,4502,14,72,1
12,350,4456,14,72,1
13,400,4422,13,72,1
19,70,2330,14,72,3
15,304,3892,13,72,1
13,307,4098,14,72,1
13,302,4294,16,72,1
14,318,4077,14,72,1
18,121,2933,15,72,2
22,121,2511,18,72,2
21,120,2979,20,72,2
26,96,2189,18,72,2
22,122,2395,16,72,1
28,97,2288,17,72,3
23,120,2506,15,72,3
28,98,2164,15,72,1
27,97,2100,17,72,3
13,350,4100,13,73,1
14,304,3672,12,73,1
13,350,3988,13,73,1
14,302,4042,15,73,1
15,318,3777,13,73,1
12,429,4952,12,73,1
13,400,4464,12,73,1
13,351,4363,13,73,1
14,318,4237,15,73,1
13,440,4735,11,73,1
12,455,4951,11,73,1
13,360,3821,11,73,1
18,225,3121,17,73,1
16,250,3278,18,73,1
18,232,2945,16,73,1
18,250,3021,17,73,1
23,198,2904,16,73,1
26,97,1950,21,73,2
11,400,4997,14,73,1
12,400,4906,13,73,1
13,360,4654,13,73,1
12,350,4499,13,73,1
18,232,2789,15,73,1
20,97,2279,19,73,3
21,140,2401,20,73,1
22,108,2379,17,73,3
18,70,2124,14,73,3
19,122,2310,19,73,1
21,155,2472,14,73,1
26,98,2265,16,73,2
15,350,4082,13,73,1
16,400,4278,10,73,1
29,68,1867,20,73,2
24,116,2158,16,73,2
20,114,2582,14,73,2
19,121,2868,16,73,2
15,318,3399,11,73,1
24,121,2660,14,73,2
20,156,2807,14,73,3
11,350,3664,11,73,1
20,198,3102,17,74,1
21,200,2875,17,74,1
19,232,2901,16,74,1
15,250,3336,17,74,1
31,79,1950,19,74,3
26,122,2451,17,74,1
32,71,1836,21,74,3
25,140,2542,17,74,1
16,250,3781,17,74,1
16,258,3632,18,74,1
18,225,3613,17,74,1
16,302,4141,14,74,1
13,350,4699,15,74,1
14,318,4457,14,74,1
14,302,4638,16,74,1
14,304,4257,16,74,1
29,98,2219,17,74,2
26,79,1963,16,74,2
26,97,2300,15,74,2
31,76,1649,17,74,3
32,83,2003,19,74,3
28,90,2125,15,74,1
24,90,2108,16,74,2
26,116,2246,14,74,2
24,120,2489,15,74,3
26,108,2391,16,74,3
31,79,2000,16,74,2
19,225,3264,16,75,1
18,250,3459,16,75,1
15,250,3432,21,75,1
15,250,3158,20,75,1
16,400,4668,12,75,1
15,350,4440,14,75,1
16,318,4498,15,75,1
14,351,4657,14,75,1
17,231,3907,21,75,1
16,250,3897,19,75,1
15,258,3730,19,75,1
18,225,3785,19,75,1
21,231,3039,15,75,1
20,262,3221,14,75,1
13,302,3169,12,75,1
29,97,2171,16,75,3
23,140,2639,17,75,1
20,232,2914,16,75,1
23,140,2592,19,75,1
24,134,2702,14,75,3
25,90,2223,17,75,2
24,119,2545,17,75,3
18,171,2984,15,75,1
29,90,1937,14,75,2
19,232,3211,17,75,1
23,115,2694,15,75,2
23,120,2957,17,75,2
22,121,2945,15,75,2
25,121,2671,14,75,2
33,91,1795,18,75,3
28,107,2464,16,76,2
25,116,2220,17,76,2
25,140,2572,15,76,1
26,98,2255,18,76,1
27,101,2202,15,76,2
18,305,4215,13,76,1
16,318,4190,13,76,1
16,304,3962,14,76,1
15,351,4215,13,76,1
22,225,3233,15,76,1
22,250,3353,15,76,1
24,200,3012,18,76,1
23,232,3085,18,76,1
29,85,2035,22,76,1
25,98,2164,22,76,1
29,90,1937,14,76,2
33,91,1795,17,76,3
20,225,3651,18,76,1
18,250,3574,21,76,1
19,250,3645,16,76,1
18,258,3193,18,76,1
30,97,1825,12,76,2
32,85,1990,17,76,3
28,97,2155,16,76,3
27,140,2565,14,76,1
20,130,3150,16,76,2
13,318,3940,13,76,1
19,120,3270,22,76,2
19,156,2930,16,76,3
17,168,3820,17,76,2
17,350,4380,12,76,1
13,350,4055,12,76,1
13,302,3870,15,76,1
13,318,3755,14,76,1
32,98,2045,19,77,3
30,111,2155,15,77,1
36,79,1825,19,77,2
26,122,2300,16,77,1
34,85,1945,17,77,3
18,305,3880,13,77,1
17,260,4060,19,77,1
16,318,4140,14,77,1
15,302,4295,15,77,1
18,250,3520,16,77,1
21,231,3425,17,77,1
19,225,3630,18,77,1
19,250,3525,19,77,1
16,400,4220,11,77,1
16,350,4165,11,77,1
16,400,4325,12,77,1
16,351,4335,15,77,1
29,97,1940,15,77,2
25,151,2740,16,77,1
26,97,2265,18,77,3
26,140,2755,16,77,1
31,98,2051,17,77,1
34,98,2075,16,77,1
30,97,1985,16,77,3
31,97,2190,14,77,2
22,146,2815,15,77,3
22,121,2600,13,77,2
22,80,2720,14,77,3
43,90,1985,22,78,2
36,98,1800,14,78,1
33,78,1985,19,78,3
39,85,2070,19,78,3
36,91,1800,16,78,3
